country	year	pop	continent	lifeExp	gdpPercap
126	Czech Republic	1977	10161915	Europe	70.71	14800.16062
127	Czech Republic	1982	10303704	Europe	70.96	15377.22855
128	Czech Republic	1987	10311597	Europe	71.58	16310.4434
129	Czech Republic	1992	10315702	Europe	72.4	14297.02122
130	Czech Republic	1997	10300707	Europe	74.01	16048.51424
131	Czech Republic	2002	10256295	Europe	75.51	17596.21022
132	Czech Republic	2007	10228744	Europe	76.486	22833.30851
133	Belgium	1952	8730405	Europe	68	8343.105127
134	Belgium	1957	8989111	Europe	69.24	9714.960623
135	Belgium	1962	9218400	Europe	70.25	10991.20676
136	Belgium	1967	9556500	Europe	70.94	13149.04119
137	Belgium	1972	9709100	Europe	71.44	16672.14356
138	Belgium	1977	9821800	Europe	72.8	19117.97448
139	Belgium	1982	9856303	Europe	73.93	20979.84589
140	Belgium	1987	9870200	Europe	75.35	22525.56308
141	Belgium	1992	10045622	Europe	76.46	25575.57069
142	Belgium	1997	10199787	Europe	77.53	27561.19663
143	Belgium	2002	10311970	Europe	78.32	30485.88375
144	Belgium	2007	10392226	Europe	79.441	33692.60508
145	Portugal	1952	8526050	Europe	59.82	3068.319867
146	Portugal	1957	8817650	Europe	61.51	3774.571743
147	Portugal	1962	9019800	Europe	64.39	4727.954889
148	Portugal	1967	9103000	Europe	66.6	6361.517993
149	Portugal	1972	8970450	Europe	69.26	9022.247417
150	Portugal	1977	9662600	Europe	70.41	10172.48572
151	Portugal	1982	9859650	Europe	72.77	11753.84291
152	Portugal	1987	9915289	Europe	74.06	13039.30876
153	Portugal	1992	9927680	Europe	74.86	16207.26663
154	Portugal	1997	10156415	Europe	75.97	17641.03156
155	Portugal	2002	10433867	Europe	77.29	19970.90787
156	Portugal	2007	10642836	Europe	78.098	20509.64777
157	Greece	1952	7733250	Europe	65.86	3530.690067
158	Greece	1957	8096218	Europe	67.86	4916.299889
159	Greece	1962	8448233	Europe	69.51	6017.190733
160	Greece	1967	8716441	Europe	71	8513.097016
161	Greece	1972	8888628	Europe	72.34	12724.82957
162	Greece	1977	9308479	Europe	73.68	14195.52428
163	Greece	1982	9786480	Europe	75.24	15268.42089
164	Greece	1987	9974490	Europe	76.67	16120.52839
165	Greece	1992	10325429	Europe	77.03	17541.49634
166	Greece	1997	10502372	Europe	77.869	18747.69814
167	Greece	2002	10603863	Europe	78.256	22514.2548
168	Greece	2007	10706290	Europe	79.483	27538.41188
169	Serbia	1952	6860147	Europe	57.996	3581.459448
170	Serbia	1957	7271135	Europe	61.685	4981.090891
171	Serbia	1962	7616060	Europe	64.531	6289.629157
172	Serbia	1967	7971222	Europe	66.914	7991.707066
173	Serbia	1972	8313288	Europe	68.7	10522.06749
174	Serbia	1977	8686367	Europe	70.3	12980.66956
175	Serbia	1982	9032824	Europe	70.162	15181.0927
176	Serbia	1987	9230783	Europe	71.218	15870.87851
177	Serbia	1992	9826397	Europe	71.659	9325.068238
178	Serbia	1997	10336594	Europe	72.232	7914.320304
179	Serbia	2002	10111559	Europe	73.213	7236.075251
180	Serbia	2007	10150265	Europe	74.002	9786.534714
181	Sweden	1952	7124673	Europe	71.86	8527.844662
182	Sweden	1957	7363802	Europe	72.49	9911.878226
183	Sweden	1962	7561588	Europe	73.37	12329.44192
184	Sweden	1967	7867931	Europe	74.16	15258.29697
185	Sweden	1972	8122293	Europe	74.72	17832.02464
186	Sweden	1977	8251648	Europe	75.44	18855.72521
187	Sweden	1982	8325260	Europe	76.42	20667.38125
188	Sweden	1987	8421403	Europe	77.19	23586.92927
189	Sweden	1992	8718867	Europe	78.16	23880.01683
190	Sweden	1997	8897619	Europe	79.39	25266.59499
191	Sweden	2002	8954175	Europe	80.04	29341.63093
192	Sweden	2007	9031088	Europe	80.884	33859.74835
193	Bulgaria	1952	7274900	Europe	59.6	2444.286648
194	Bulgaria	1957	7651254	Europe	66.61	3008.670727
195	Bulgaria	1962	8012946	Europe	69.51	4254.337839
196	Bulgaria	1967	8310226	Europe	70.42	5577.0028
197	Bulgaria	1972	8576200	Europe	70.9	6597.494398
198	Bulgaria	1977	8797022	Europe	70.81	7612.240438
199	Bulgaria	1982	8892098	Europe	71.08	8224.191647
200	Bulgaria	1987	8971958	Europe	71.34	8239.854824
201	Bulgaria	1992	8658506	Europe	71.19	6302.623438
202	Bulgaria	1997	8066057	Europe	70.32	5970.38876
203	Bulgaria	2002	7661799	Europe	72.14	7696.777725
204	Bulgaria	2007	7322858	Europe	73.005	10680.79282
205	Austria	1952	6927772	Europe	66.8	6137.076492
206	Austria	1957	6965860	Europe	67.48	8842.59803
207	Austria	1962	7129864	Europe	69.54	10750.72111
208	Austria	1967	7376998	Europe	70.14	12834.6024
209	Austria	1972	7544201	Europe	70.63	16661.6256
210	Austria	1977	7568430	Europe	72.17	19749.4223
211	Austria	1982	7574613	Europe	73.18	21597.08362
212	Austria	1987	7578903	Europe	74.94	23687.82607
213	Austria	1992	7914969	Europe	76.04	27042.01868
214	Austria	1997	8069876	Europe	77.51	29095.92066
215	Austria	2002	8148312	Europe	78.98	32417.60769
216	Austria	2007	8199783	Europe	79.829	36126.4927
217	Switzerland	1952	4815000	Europe	69.62	14734.23275
218	Switzerland	1957	5126000	Europe	70.56	17909.48973
219	Switzerland	1962	5666000	Europe	71.32	20431.0927
220	Switzerland	1967	6063000	Europe	72.77	22966.14432
221	Switzerland	1972	6401400	Europe	73.78	27195.11304
222	Switzerland	1977	6316424	Europe	75.39	26982.29052
223	Switzerland	1982	6468126	Europe	76.21	28397.71512
224	Switzerland	1987	6649942	Europe	77.41	30281.70459
225	Switzerland	1992	6995447	Europe	78.03	31871.5303
226	Switzerland	1997	7193761	Europe	79.37	32135.32301
227	Switzerland	2002	7361757	Europe	80.62	34480.95771
228	Switzerland	2007	7554661	Europe	81.701	37506.41907
229	Denmark	1952	4334000	Europe	70.78	9692.385245
230	Denmark	1957	4487831	Europe	71.81	11099.65935
231	Denmark	1962	4646899	Europe	72.35	13583.31351
232	Denmark	1967	4838800	Europe	72.96	15937.21123
233	Denmark	1972	4991596	Europe	73.47	18866.20721
234	Denmark	1977	5088419	Europe	74.69	20422.9015
235	Denmark	1982	5117810	Europe	74.63	21688.04048
236	Denmark	1987	5127024	Europe	74.8	25116.17581
237	Denmark	1992	5171393	Europe	75.33	26406.73985
238	Denmark	1997	5283663	Europe	76.11	29804.34567
239	Denmark	2002	5374693	Europe	77.18	32166.50006
240	Denmark	2007	5468120	Europe	78.332	35278.41874
241	Slovak Republic	1952	3558137	Europe	64.36	5074.659104
242	Slovak Republic	1957	3844277	Europe	67.45	6093.26298
243	Slovak Republic	1962	4237384	Europe	70.33	7481.107598
244	Slovak Republic	1967	4442238	Europe	70.98	8412.902397
245	Slovak Republic	1972	4593433	Europe	70.35	9674.167626
246	Slovak Republic	1977	4827803	Europe	70.45	10922.66404
247	Slovak Republic	1982	5048043	Europe	70.8	11348.54585
248	Slovak Republic	1987	5199318	Europe	71.08	12037.26758
249	Slovak Republic	1992	5302888	Europe	71.38	9498.467723
250	Slovak Republic	1997	5383010	Europe	72.71	12126.23065
251	Slovak Republic	2002	5410052	Europe	73.8	13638.77837
252	Slovak Republic	2007	5447502	Europe	74.663	18678.31435
253	Finland	1952	4090500	Europe	66.55	6424.519071
254	Finland	1957	4324000	Europe	67.49	7545.415386
255	Finland	1962	4491443	Europe	68.75	9371.842561
256	Finland	1967	4605744	Europe	69.83	10921.63626
257	Finland	1972	4639657	Europe	70.87	14358.8759
258	Finland	1977	4738902	Europe	72.52	15605.42283
259	Finland	1982	4826933	Europe	74.55	18533.15761
260	Finland	1987	4931729	Europe	74.83	21141.01223
261	Finland	1992	5041039	Europe	75.7	20647.16499
262	Finland	1997	5134406	Europe	77.13	23723.9502
263	Finland	2002	5193039	Europe	78.37	28204.59057
264	Finland	2007	5238460	Europe	79.313	33207.0844
265	Croatia	1952	3882229	Europe	61.21	3119.23652
266	Croatia	1957	3991242	Europe	64.77	4338.231617
267	Croatia	1962	4076557	Europe	67.13	5477.890018
268	Croatia	1967	4174366	Europe	68.5	6960.297861
269	Croatia	1972	4225310	Europe	69.61	9164.090127
270	Croatia	1977	4318673	Europe	70.64	11305.38517
271	Croatia	1982	4413368	Europe	70.46	13221.82184
272	Croatia	1987	4484310	Europe	71.52	13822.58394
273	Croatia	1992	4494013	Europe	72.527	8447.794873
274	Croatia	1997	4444595	Europe	73.68	9875.604515
275	Croatia	2002	4481020	Europe	74.876	11628.38895
276	Croatia	2007	4493312	Europe	75.748	14619.22272
277	Norway	1952	3327728	Europe	72.67	10095.42172
278	Norway	1957	3491938	Europe	73.44	11653.97304
279	Norway	1962	3638919	Europe	73.47	13450.40151
280	Norway	1967	3786019	Europe	74.08	16361.87647
281	Norway	1972	3933004	Europe	74.34	18965.05551
282	Norway	1977	4043205	Europe	75.37	23311.34939
283	Norway	1982	4114787	Europe	75.97	26298.63531
284	Norway	1987	4186147	Europe	75.89	31540.9748
285	Norway	1992	4286357	Europe	77.32	33965.66115
286	Norway	1997	4405672	Europe	78.32	41283.16433
287	Norway	2002	4535591	Europe	79.05	44683.97525
288	Norway	2007	4627926	Europe	80.196	49357.19017
289	Bosnia and Herzegovina	1952	2791000	Europe	53.82	973.5331948
290	Bosnia and Herzegovina	1957	3076000	Europe	58.45	1353.989176
291	Bosnia and Herzegovina	1962	3349000	Europe	61.93	1709.683679
292	Bosnia and Herzegovina	1967	3585000	Europe	64.79	2172.352423
293	Bosnia and Herzegovina	1972	3819000	Europe	67.45	2860.16975
294	Bosnia and Herzegovina	1977	4086000	Europe	69.86	3528.481305
295	Bosnia and Herzegovina	1982	4172693	Europe	70.69	4126.613157
296	Bosnia and Herzegovina	1987	4338977	Europe	71.14	4314.114757
297	Bosnia and Herzegovina	1992	4256013	Europe	72.178	2546.781445
298	Bosnia and Herzegovina	1997	3607000	Europe	73.244	4766.355904
299	Bosnia and Herzegovina	2002	4165416	Europe	74.09	6018.975239
300	Bosnia and Herzegovina	2007	4552198	Europe	74.852	7446.298803
301	Ireland	1952	2952156	Europe	66.91	5210.280328
302	Ireland	1957	2878220	Europe	68.9	5599.077872
303	Ireland	1962	2830000	Europe	70.29	6631.597314
304	Ireland	1967	2900100	Europe	71.08	7655.568963
305	Ireland	1972	3024400	Europe	71.28	9530.772896
306	Ireland	1977	3271900	Europe	72.03	11150.98113
307	Ireland	1982	3480000	Europe	73.1	12618.32141
308	Ireland	1987	3539900	Europe	74.36	13872.86652
309	Ireland	1992	3557761	Europe	75.467	17558.81555
310	Ireland	1997	3667233	Europe	76.122	24521.94713
311	Ireland	2002	3879155	Europe	77.783	34077.04939
312	Ireland	2007	4109086	Europe	78.885	40675.99635
313	Albania	1952	1282697	Europe	55.23	1601.056136
314	Albania	1957	1476505	Europe	59.28	1942.284244
315	Albania	1962	1728137	Europe	64.82	2312.888958
316	Albania	1967	1984060	Europe	66.22	2760.196931
317	Albania	1972	2263554	Europe	67.69	3313.422188
318	Albania	1977	2509048	Europe	68.93	3533.00391
319	Albania	1982	2780097	Europe	70.42	3630.880722
320	Albania	1987	3075321	Europe	72	3738.932735
321	Albania	1992	3326498	Europe	71.581	2497.437901
322	Albania	1997	3428038	Europe	72.95	3193.054604
323	Albania	2002	3508512	Europe	75.651	4604.211737
324	Albania	2007	3600523	Europe	76.423	5937.029526
325	Slovenia	1952	1489518	Europe	65.57	4215.041741
326	Slovenia	1957	1533070	Europe	67.85	5862.276629
327	Slovenia	1962	1582962	Europe	69.15	7402.303395
328	Slovenia	1967	1646912	Europe	69.18	9405.489397
329	Slovenia	1972	1694510	Europe	69.82	12383.4862
330	Slovenia	1977	1746919	Europe	70.97	15277.03017
331	Slovenia	1982	1861252	Europe	71.063	17866.72175
332	Slovenia	1987	1945870	Europe	72.25	18678.53492
333	Slovenia	1992	1999210	Europe	73.64	14214.71681
334	Slovenia	1997	2011612	Europe	75.13	17161.10735
335	Slovenia	2002	2011497	Europe	76.66	20660.01936
336	Slovenia	2007	2009245	Europe	77.926	25768.25759
337	Montenegro	1952	413834	Europe	59.164	2647.585601
338	Montenegro	1957	442829	Europe	61.448	3682.259903
339	Montenegro	1962	474528	Europe	63.728	4649.593785
340	Montenegro	1967	501035	Europe	67.178	5907.850937
341	Montenegro	1972	527678	Europe	70.636	7778.414017
342	Montenegro	1977	560073	Europe	73.066	9595.929905
343	Montenegro	1982	562548	Europe	74.101	11222.58762
344	Montenegro	1987	569473	Europe	74.865	11732.51017
345	Montenegro	1992	621621	Europe	75.435	7003.339037
346	Montenegro	1997	692651	Europe	75.445	6465.613349
347	Montenegro	2002	720230	Europe	73.981	6557.194282
348	Montenegro	2007	684736	Europe	74.543	9253.896111
349	Iceland	1952	147962	Europe	72.49	7267.688428
350	Iceland	1957	165110	Europe	73.47	9244.001412
351	Iceland	1962	182053	Europe	73.68	10350.15906
352	Iceland	1967	198676	Europe	73.73	13319.89568
353	Iceland	1972	209275	Europe	74.46	15798.06362
354	Iceland	1977	221823	Europe	76.11	19654.96247
355	Iceland	1982	233997	Europe	76.99	23269.6075
356	Iceland	1987	244676	Europe	77.23	26923.20628
357	Iceland	1992	259012	Europe	78.77	25144.39201
358	Iceland	1997	271192	Europe	78.95	28061.09966
359	Iceland	2002	288030	Europe	80.5	31163.20196
360	Iceland	2007	301931	Europe	81.757	36180.78919
361	United States	1952	157553000	Americas	68.44	13990.48208
362	United States	1957	171984000	Americas	69.49	14847.12712
363	United States	1962	186538000	Americas	70.21	16173.14586
364	United States	1967	198712000	Americas	70.76	19530.36557
365	United States	1972	209896000	Americas	71.34	21806.03594
366	United States	1977	220239000	Americas	73.38	24072.63213
367	United States	1982	232187835	Americas	74.65	25009.55914
368	United States	1987	242803533	Americas	75.02	29884.35041
369	United States	1992	256894189	Americas	76.09	32003.93224
370	United States	1997	272911760	Americas	76.81	35767.43303
371	United States	2002	287675526	Americas	77.31	39097.09955
372	United States	2007	301139947	Americas	78.242	42951.65309
373	Brazil	1952	56602560	Americas	50.917	2108.944355
374	Brazil	1957	65551171	Americas	53.285	2487.365989
375	Brazil	1962	76039390	Americas	55.665	3336.585802
376	Brazil	1967	88049823	Americas	57.632	3429.864357
377	Brazil	1972	100840058	Americas	59.504	4985.711467
378	Brazil	1977	114313951	Americas	61.489	6660.118654
379	Brazil	1982	128962939	Americas	63.336	7030.835878
380	Brazil	1987	142938076	Americas	65.205	7807.095818
381	Brazil	1992	155975974	Americas	67.057	6950.283021
382	Brazil	1997	168546719	Americas	69.388	7957.980824
383	Brazil	2002	179914212	Americas	71.006	8131.212843
384	Brazil	2007	190010647	Americas	72.39	9065.800825
385	Mexico	1952	30144317	Americas	50.789	3478.125529
386	Mexico	1957	35015548	Americas	55.19	4131.546641
387	Mexico	1962	41121485	Americas	58.299	4581.609385
388	Mexico	1967	47995559	Americas	60.11	5754.733883
389	Mexico	1972	55984294	Americas	62.361	6809.40669
390	Mexico	1977	63759976	Americas	65.032	7674.929108
391	Mexico	1982	71640904	Americas	67.405	9611.147541
392	Mexico	1987	80122492	Americas	69.498	8688.156003
393	Mexico	1992	88111030	Americas	71.455	9472.384295
394	Mexico	1997	95895146	Americas	73.67	9767.29753
395	Mexico	2002	102479927	Americas	74.902	10742.44053
396	Mexico	2007	108700891	Americas	76.195	11977.57496
397	Argentina	1952	17876956	Americas	62.485	5911.315053
398	Argentina	1957	19610538	Americas	64.399	6856.856212
399	Argentina	1962	21283783	Americas	65.142	7133.166023
400	Argentina	1967	22934225	Americas	65.634	8052.953021
401	Argentina	1972	24779799	Americas	67.065	9443.038526
402	Argentina	1977	26983828	Americas	68.481	10079.02674
403	Argentina	1982	29341374	Americas	69.942	8997.897412
404	Argentina	1987	31620918	Americas	70.774	9139.671389
405	Argentina	1992	33958947	Americas	71.868	9308.41871
406	Argentina	1997	36203463	Americas	73.275	10967.28195
407	Argentina	2002	38331121	Americas	74.34	8797.640716
408	Argentina	2007	40301927	Americas	75.32	12779.37964
409	Colombia	1952	12350771	Americas	50.643	2144.115096
410	Colombia	1957	14485993	Americas	55.118	2323.805581
411	Colombia	1962	17009885	Americas	57.863	2492.351109
412	Colombia	1967	19764027	Americas	59.963	2678.729839
413	Colombia	1972	22542890	Americas	61.623	3264.660041
414	Colombia	1977	25094412	Americas	63.837	3815.80787
415	Colombia	1982	27764644	Americas	66.653	4397.575659
416	Colombia	1987	30964245	Americas	67.768	4903.2191
417	Colombia	1992	34202721	Americas	68.421	5444.648617
418	Colombia	1997	37657830	Americas	70.313	6117.361746
419	Colombia	2002	41008227	Americas	71.682	5755.259962
420	Colombia	2007	44227550	Americas	72.889	7006.580419
421	Canada	1952	14785584	Americas	68.75	11367.16112
422	Canada	1957	17010154	Americas	69.96	12489.95006
423	Canada	1962	18985849	Americas	71.3	13462.48555
424	Canada	1967	20819767	Americas	72.13	16076.58803
425	Canada	1972	22284500	Americas	72.88	18970.57086
426	Canada	1977	23796400	Americas	74.21	22090.88306
427	Canada	1982	25201900	Americas	75.76	22898.79214
428	Canada	1987	26549700	Americas	76.86	26626.51503
429	Canada	1992	28523502	Americas	77.95	26342.88426
430	Canada	1997	30305843	Americas	78.61	28954.92589
431	Canada	2002	31902268	Americas	79.77	33328.96507
432	Canada	2007	33390141	Americas	80.653	36319.23501
433	Peru	1952	8025700	Americas	43.902	3758.523437
434	Peru	1957	9146100	Americas	46.263	4245.256698
435	Peru	1962	10516500	Americas	49.096	4957.037982
436	Peru	1967	12132200	Americas	51.445	5788.09333
437	Peru	1972	13954700	Americas	55.448	5937.827283
438	Peru	1977	15990099	Americas	58.447	6281.290855
439	Peru	1982	18125129	Americas	61.406	6434.501797
440	Peru	1987	20195924	Americas	64.134	6360.943444
441	Peru	1992	22430449	Americas	66.458	4446.380924
442	Peru	1997	24748122	Americas	68.386	5838.347657
443	Peru	2002	26769436	Americas	69.906	5909.020073
444	Peru	2007	28674757	Americas	71.421	7408.905561
445	Venezuela	1952	5439568	Americas	55.088	7689.799761
446	Venezuela	1957	6702668	Americas	57.907	9802.466526
447	Venezuela	1962	8143375	Americas	60.77	8422.974165
448	Venezuela	1967	9709552	Americas	63.479	9541.474188
449	Venezuela	1972	11515649	Americas	65.712	10505.25966
450	Venezuela	1977	13503563	Americas	67.456	13143.95095
451	Venezuela	1982	15620766	Americas	68.557	11152.41011
452	Venezuela	1987	17910182	Americas	70.19	9883.584648
453	Venezuela	1992	20265563	Americas	71.15	10733.92631
454	Venezuela	1997	22374398	Americas	72.146	10165.49518
455	Venezuela	2002	24287670	Americas	72.766	8605.047831
456	Venezuela	2007	26084662	Americas	73.747	11415.80569
457	Chile	1952	6377619	Americas	54.745	3939.978789
458	Chile	1957	7048426	Americas	56.074	4315.622723
459	Chile	1962	7961258	Americas	57.924	4519.094331
460	Chile	1967	8858908	Americas	60.523	5106.654313
461	Chile	1972	9717524	Americas	63.441	5494.024437
462	Chile	1977	10599793	Americas	67.052	4756.763836
463	Chile	1982	11487112	Americas	70.565	5095.665738
464	Chile	1987	12463354	Americas	72.492	5547.063754
465	Chile	1992	13572994	Americas	74.126	7596.125964
466	Chile	1997	14599929	Americas	75.816	10118.05318
467	Chile	2002	15497046	Americas	77.86	10778.78385
468	Chile	2007	16284741	Americas	78.553	13171.63885
469	Cuba	1952	6007797	Americas	59.421	5586.53878
470	Cuba	1957	6640752	Americas	62.325	6092.174359
471	Cuba	1962	7254373	Americas	65.246	5180.75591
472	Cuba	1967	8139332	Americas	68.29	5690.268015
473	Cuba	1972	8831348	Americas	70.723	5305.445256
474	Cuba	1977	9537988	Americas	72.649	6380.494966
475	Cuba	1982	9789224	Americas	73.717	7316.918107
476	Cuba	1987	10239839	Americas	74.174	7532.924763
477	Cuba	1992	10723260	Americas	74.414	5592.843963
478	Cuba	1997	10983007	Americas	76.151	5431.990415
479	Cuba	2002	11226999	Americas	77.158	6340.646683
480	Cuba	2007	11416987	Americas	78.273	8948.102923
481	Ecuador	1952	3548753	Americas	48.357	3522.110717
482	Ecuador	1957	4058385	Americas	51.356	3780.546651
483	Ecuador	1962	4681707	Americas	54.64	4086.114078
484	Ecuador	1967	5432424	Americas	56.678	4579.074215
485	Ecuador	1972	6298651	Americas	58.796	5280.99471
486	Ecuador	1977	7278866	Americas	61.31	6679.62326
487	Ecuador	1982	8365850	Americas	64.342	7213.791267
488	Ecuador	1987	9545158	Americas	67.231	6481.776993
489	Ecuador	1992	10748394	Americas	69.613	7103.702595
490	Ecuador	1997	11911819	Americas	72.312	7429.455877
491	Ecuador	2002	12921234	Americas	74.173	5773.044512
492	Ecuador	2007	13755680	Americas	74.994	6873.262326
493	Guatemala	1952	3146381	Americas	42.023	2428.237769
494	Guatemala	1957	3640876	Americas	44.142	2617.155967
495	Guatemala	1962	4208858	Americas	46.954	2750.364446
496	Guatemala	1967	4690773	Americas	50.016	3242.531147
497	Guatemala	1972	5149581	Americas	53.738	4031.408271
